1105	30	24																																									
1055	20	6																																									
1046	50	12																																									
1032	30	24																																									
1030	20	24																																									
975	50	6																																									
893	30	24																																									
882	20	1001																																									
847	30	20																																									
845	30	108																																									
830	30	90																																									
795	20	40																																									
766	35	12																																									
745	30	12																																									
732	30	68																																									
719	30	54																																									
714	50	10																																									
690	30	12																																									
665	20	270																																									
633	30	90																																									
630	30	90																																									
600	35	612																																									
590	20	508																																									
588	20	2082																																									
582	30	496																																									
578	20	24																																									
540	50	62																																									
488	20	20																																									
455	20	162																																									
434	30	92																																									
420	20	40																																									
415	30	24																																									
414	20	40																																									
411	30	180																																									
405	20	536																																									
328	30	12																																									
313	50	128																																									
290	30	686																																									
275	20	2002																																									
265	30	686																																									
255	30	692																																									
184	20	357																																									
155	50	52																																									
